dur
0.04
0.09
0.26
0.06
0.041
0.11
0.061
0.1
0.069
0.09
0.049
0.1
0.08
0.19
0.34
0.16
0.129
0.051
0.059
0.101
0.069
0.06
0.1
0.14
0.14
0.1
0.06
0.08
0.1
0.401
0.05
0.04
0.05
0.06
0.15
0.261
0.069
0.08
0.09
0.061
0.12
0.26
0.1
0.129
0.041
0.059
0.1
0.041
0.1
0.11
0.13
0.3
0.129
0.191
0.28
0.37
0.09
0.1
0.101
0.14
0.299
0.12
0.1
0.07
0.04
0.2
0.15
0.091
0.1
0.1
0.3
0.09
0.05
0.06
0.051
0.059
0.091
0.13
0.16
0.06
0.1
0.18
0.171
0.09
0.12
0.04
0.12
0.069
0.04
0.15
0.07
0.041
0.041
0.091
0.07
0.04
0.129
0.04
0.049
0.049
0.06
0.081
0.041
0.1
0.061
0.13
0.081
0.12
0.26
0.09
0.04
0.06
0.059
0.061
0.079
0.12
0.12
0.05
0.301
0.21
0.16
0.13
0.06
0.1
0.04
0.041
0.2
0.09
0.04
0.099
0.17
0.14
0.04
0.07
0.071
0.13
0.06
0.04
0.16
0.17
0.09
0.119
0.09
0.171
0.05
0.07
0.061
0.15
0.1
0.04
0.23
0.2
0.079
0.089
0.09
0.059
0.061
0.11
0.08
0.08
0.09
0.05
0.13
0.06
0.049
0.131
0.059
0.081
0.181
0.061
0.19
0.1
0.07
0.049
0.179
0.04
0.11
0.081
0.19
0.05
0.11
0.501
0.06
0.1
0.159
0.05
0.04
0.06
0.141
0.19
0.06
0.07
0.049
0.1
0.1
0.04
0.04
0.1
0.12
0.11
0.15
0.08
0.05
0.15
0.07
0.04
0.05
0.061
0.28
0.1
0.099
0.07
0.22
0.09
0.07
0.06
0.131
0.11
0.09
0.121
0.13
0.1
0.04
0.15
0.08
0.111
0.04
0.069
0.131
0.1
0.04
0.04
0.05
0.12
0.36
0.04
0.07
0.041
0.13
0.141
0.19
0.1
0.11
0.141
0.059
0.109
0.09
0.04
0.1
0.15
0.071
0.06
0.11
0.13
0.05
0.059
0.1
0.1
0.131
0.19
0.31
0.04
0.15
0.12
0.09
0.13
0.08
0.07
0.04
0.121
0.37
0.05
0.08
0.32
0.149
0.51
0.071
0.05
0.26
0.12
0.1
0.04
0.049
0.32
0.241
0.09
0.21
0.339
0.04
0.109
0.05
0.199
0.24
0.04
0.179
0.24
0.12
0.061
0.04
0.11
0.071
0.059
0.14
0.28
0.079
0.04
0.051
0.09
0.05
0.08
0.04
0.13
0.04
0.07
0.05
0.06
0.08
0.08
0.13
0.07
0.12
0.15
0.089
0.21
0.229
0.061
0.14
0.08
0.04
0.049
0.041
0.041
0.101
0.071
0.05
